,Origin,Destination
1517,Rhode Island,Philadelphia
1518,Rhode Island,Philadelphia
1519,Rhode Island,Philadelphia
1520,Rhode Island,Philadelphia
1521,Rhode Island,Philadelphia
1522,Rhode Island,Philadelphia
1523,Philadelphia,Rhode Island
1524,Philadelphia,Rhode Island
1525,Philadelphia,Rhode Island
1526,Philadelphia,Rhode Island
1527,Philadelphia,Rhode Island
1528,Philadelphia,Rhode Island
1529,Philadelphia,Rhode Island
1530,Philadelphia,Rhode Island
1531,Philadelphia,Rhode Island
1532,Philadelphia,Rhode Island
1533,Philadelphia,Rhode Island
1534,Philadelphia,Rhode Island
1535,Philadelphia,Rhode Island
1537,Philadelphia,Rhode Island
1538,Philadelphia,Rhode Island
1541,Philadelphia,Rhode Island
1542,Philadelphia,Rhode Island
1543,Philadelphia,Rhode Island
1544,Philadelphia,Rhode Island
1545,Philadelphia,Rhode Island
1546,Philadelphia,Rhode Island
1547,Philadelphia,Rhode Island
1548,Philadelphia,Rhode Island
1550,Philadelphia,Rhode Island
1551,Philadelphia,Rhode Island
1552,Philadelphia,Rhode Island
1553,Susquehanna County,Rhode Island
1554,Philadelphia,Rhode Island
1555,Philadelphia,Rhode Island
1556,Philadelphia,Rhode Island
1557,Philadelphia,Rhode Island
1558,Philadelphia,Rhode Island
1560,Philadelphia,Rhode Island
1561,Philadelphia,Rhode Island
1563,Philadelphia,Rhode Island
1565,Philadelphia,Rhode Island
1566,Philadelphia,Rhode Island
1568,Rhode Island,Philadelphia
1570,Philadelphia,Rhode Island
1571,Philadelphia,Rhode Island
1573,Philadelphia,Rhode Island
1574,Philadelphia,Rhode Island
1575,Philadelphia,Rhode Island
1578,Philadelphia,Rhode Island
1579,Philadelphia,Rhode Island
1580,Philadelphia,Rhode Island
1583,Philadelphia,Rhode Island
1587,Philadelphia,Rhode Island
1589,Rhode Island,Philadelphia
1591,Philadelphia,Rhode Island
1596,Philadelphia,Rhode Island
1597,Rhode Island,Philadelphia
1598,Philadelphia,Rhode Island
1600,Philadelphia,Rhode Island
1616,Philadelphia,Philadelphia
1619,Susquehanna County,Philadelphia
1628,Philadelphia,Susquehanna County
1629,Susquehanna County,Philadelphia
1630,Philadelphia,Susquehanna County
1632,Philadelphia,Susquehanna County
1633,Philadelphia,Susquehanna County
1636,Philadelphia,Pennsylvania
1637,Maryland,Pennsylvania
1643,Philadelphia,Massachusetts
1651,Philadelphia,Susquehanna County
1658,Philadelphia,Susquehanna County
1661,Philadelphia,Susquehanna County
1666,Philadelphia,Susquehanna County
1669,England,Philadelphia
1672,Pennsylvania,Philadelphia
1679,Susquehanna County,Philadelphia
1689,Philadelphia,Susquehanna County
1700,Maryland,Philadelphia
1718,Philadelphia,Virginia
1730,Rhode Island,Susquehanna County
1756,Philadelphia,Susquehanna County
1763,Philadelphia,Susquehanna County
1768,Philadelphia,Susquehanna County
1773,Philadelphia,Philadelphia
1778,Philadelphia,Susquehanna County
1786,Philadelphia,Susquehanna County
1790,Philadelphia,Rhode Island
1810,Rhode Island,Philadelphia
1820,Philadelphia,Rhode Island
1822,Philadelphia,Susquehanna County
1824,Philadelphia,Susquehanna County
1840,Maryland,Philadelphia
1850,Rhode Island,Susquehanna County
1856,Philadelphia,Rhode Island
1859,Philadelphia,Susquehanna County
1868,Philadelphia,Susquehanna County
1869,Rhode Island,Philadelphia
1877,Susquehanna County,Philadelphia
1900,Philadelphia,Susquehanna County
1901,Philadelphia,Susquehanna County
1903,Susquehanna County,Rhode Island
1909,Philadelphia,Susquehanna County
1917,Susquehanna County,Rhode Island
1927,Virginia,Philadelphia
1929,Washington (D.C.),Philadelphia
1930,North Carolina,Philadelphia
1931,Washington (D.C.),Philadelphia
1932,South Carolina,Philadelphia
1934,Florida,Philadelphia
1935,Florida,Philadelphia
1940,Philadelphia,Philadelphia
1941,Philadelphia,Rhode Island
1949,Philadelphia,Philadelphia
1954,Florida,Pennsylvania
1983,Philadelphia,Susquehanna County
1984,Philadelphia,Rhode Island
1987,Philadelphia,Rhode Island
1988,Susquehanna County,Philadelphia
1990,Philadelphia,Susquehanna County
1994,Susquehanna County,Rhode Island
2004,Philadelphia,Rhode Island
2011,Philadelphia,Rhode Island
2023,Susquehanna County,Rhode Island
2026,Italy,Susquehanna County
2030,England,Philadelphia
2032,Delaware,Philadelphia
2033,Delaware,Philadelphia
2034,Delaware,Philadelphia
2035,Delaware,Philadelphia
2037,Delaware,Philadelphia
2038,Philadelphia,Philadelphia
